Target,Temp,TempErr,Mass,MassErr,Radius,RadiusErr,LogG,LogGErr,FeH,FeHErr,Dist,DistErr
TRAPPIST1,2520,39, 0.09078,0.020, 0.115,0.003,5.276,0.072,0.05350,0.08800,12.467,0.011 
GJ1214,3074,157,0.185,0.020,0.2145720,0.0064456, 5.039,0.022,,,14.641,0.014
GJ436, 3456,157,0.420, 0.020,0.425,0.013,  4.8035, 0.0047,,,9.775,0.003
K218,3464,157,0.441,0.020,0.444, 0.013, 4.7864, 0.0058, 0.123, 0.157,38.1,0.039
AUMIC,3700, 100, 0,0,0.662, 0.020, 0.698, 0.021,4.571,0.013,9.714,0.002
K23,3920,157,0.546,0.020,0.551,0.016, 4.693,0.0097,0,0,43.981, 0.043 
HATP12, 4653, 116,0.740,0.083, 0.704, 0.049,4.613,0.088, -0.0632,0.015, 37.840, 0.016 
HATP11, 4778, 113,0.770, 0.088, 0.760, 0.048,4.5631,0.0865, 0.300, 0.053, 141.965, 0.201
55CNC,5250,148,0.90,0.12,0.96,0.07,4.425,0.10,0.35,0.10,12.5868,0.0068
HD189733,4875,43,0.846,0.049,0.805,0.016,4.582,0.140,-0.03,0.08,19.7758,0.0063
HATP26,5061,88,0.846,0.100,0.860,0.05,4.500,0.081,-0.028,0.036,142.901,0.4085
WASP12,6154,106,1.17,0.16,1.75,0.08,4.020,0.081,0.21,0.10,413.04,2.8416
WASP17,6548,140,1.35,0.22,1.573,0.088,4.176,0.65,-0.070,0.100,403.1,4.1
WASP19,5503,106,0.97,0.13,1.028,0.05,4.400,0.08,0.21,0.10,266.56,0.64
WASP39,5327,140,0.92,0.115,1.01,0.07,4.389,0.086,-0.030,0.100,215.38,0.65
WASP121,6776,134,1.45,0.25,1.52,0.06,4.234,0.09,0.13,0.09,263.16,0.16
